,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
85,1999,4.9,5.5,5.7,6.5,9.2,12.2,13.0,14.9,11.5,9.3,7.3,5.8
86,2000,5.4,5.7,6.3,8.7,9.4,11.5,13.2,11.4,12.1,9.1,7.2,5.7
87,2001,5.5,4.9,6.4,8.0,9.4,12.4,15.4,11.7,11.7,9.0,7.8,5.2
88,2002,4.8,5.3,5.1,7.2,9.4,11.4,14.5,14.8,13.7,10.2,8.1,6.1
89,2003,5.7,6.7,6.4,7.7,10.6,11.7,12.3,16.4,13.1,10.2,6.6,6.3
90,2004,4.5,6.1,7.1,9.1,12.0,13.4,15.8,13.7,13.1,10.2,8.0,6.5
91,2005,5.2,6.0,6.9,7.8,10.5,14.0,13.1,13.9,10.9,9.7,7.8,6.2
92,2006,7.0,5.8,6.7,8.2,9.4,12.4,13.5,15.2,13.9,9.9,6.2,5.9
93,2007,6.0,6.2,7.3,7.3,10.0,13.4,13.1,15.3,12.6,9.8,7.6,6.5
94,2008,5.1,5.8,6.7,6.3,9.7,,12.9,12.5,12.1,9.9,8.1,5.9
95,2009,4.5,5.1,5.2,6.7,9.3,13.3,13.0,12.8,11.4,9.2,7.9,5.3
96,2010,5.5,6.8,7.1,7.3,9.7,9.9,14.3,15.9,12.2,9.3,6.7,4.5
97,2011,4.5,4.8,5.2,7.1,8.5,13.1,13.9,15.4,10.1,9.1,6.7,5.8
98,2012,4.5,4.8,5.2,6.5,9.6,11.1,14.2,13.8,12.5,8.8,5.9,6.0
99,2013,4.7,6.2,6.2,8.1,10.3,12.8,17.0,14.0,11.0,9.5,7.6,5.5
100,2014,4.4,3.1,3.7,7.7,10.1,12.0,15.9,16.8,11.7,10.6,7.1,7.1
101,2015,6.3,8.0,8.0,8.9,11.0,15.5,13.8,13.4,11.6,11.3,8.1,6.8
102,2016,6.0,7.1,8.4,9.8,13.0,14.2,14.6,14.6,12.6,10.8,8.2,5.5
103,2017,5.6,4.8,7.1,7.9,10.5,12.4,15.3,15.3,13.1,10.2,8.8,6.9
104,2018,6.2,6.0,7.1,8.2,,,,,,,,
